BRUSSELS	NNP	I-NP	I-LOC
1996-08-31	NNP	I-NP	O

LONDON	NNP	I-NP	I-LOC
1996-08-31	NNP	I-NP	O

Gold	NNP	I-NP	I-ORG
Coast	NNP	I-NP	I-ORG
21	CD	I-NP	O
5	CD	I-NP	O
1	CD	I-NP	O
15	CD	I-NP	O
351	CD	I-NP	O
483	CD	I-NP	O
11	CD	I-NP	O

Our	PRP$	I-NP	O
mission	NN	I-NP	O
in	IN	I-PP	O
Chechnya	NNP	I-NP	I-LOC
has	VBZ	I-VP	O
done	VBN	I-VP	O
all	DT	I-NP	O
it	PRP	B-NP	O
can	MD	I-VP	O
within	IN	I-PP	O
the	DT	I-NP	O
given	VBN	I-NP	O
limitations	NNS	I-NP	O
.	.	O	O
"	"	O	O

Reading	VBG	I-VP	I-ORG
2	CD	I-NP	O
Stoke	NNP	I-NP	I-ORG
2	CD	I-NP	O

There	RB	I-NP	O
seemed	VBN	I-NP	O
scant	JJ	I-NP	O
danger	NN	I-NP	O
until	IN	I-SBAR	O
the	DT	I-NP	O
Surrey	NNP	I-NP	I-ORG
player	NN	I-NP	O
swooped	VBD	I-VP	O
on	IN	I-ADVP	O
to	TO	I-PP	O
the	DT	I-NP	O
ball	NN	I-NP	O
and	CC	O	O
returned	VBD	I-VP	O
off	RP	I-PRT	O
balance	NN	I-NP	O
to	TO	I-PP	O
county	NN	I-NP	O
team	NN	I-NP	O
mate	NN	I-NP	O
Alec	NNP	B-NP	I-PER
Stewart	NNP	I-NP	I-PER
who	WP	B-NP	O
whipped	VBD	I-VP	O
off	RP	I-PRT	O
the	DT	I-NP	O
bails	NNS	I-NP	O
.	.	O	O

England	NNP	I-NP	I-LOC
first	RB	I-ADVP	O
innings	NN	I-NP	O

Buyers	NNS	I-NP	O
Sellers	VBZ	I-VP	O
Last	JJ	I-NP	O
Prev	NNS	I-NP	O

JosepGuardiola	NN	I-NP	I-PER

-DOCSTART-	-X-	O	O

DETROIT	NNP	I-NP	I-ORG
AT	NNP	I-NP	O
NEW	JJ	I-NP	I-LOC
JERSEY	NNP	I-NP	I-LOC

SAO	NNP	I-NP	I-PER
PAULO	NNP	I-NP	I-PER
,	,	O	O
Brazil	NNP	I-NP	I-LOC
1996-08-28	CD	I-NP	O

CYCLING	VBG	I-VP	O
-	:	O	O
WORLD	NN	I-NP	O
CHAMPIONSHIP	NN	I-NP	O
RESULTS	NNS	I-NP	O
.	.	O	O

He	PRP	I-NP	O
said	VBD	I-VP	O
the	DT	I-NP	O
Bangladesh	NNP	I-NP	I-LOC
government	NN	I-NP	O
had	VBD	I-VP	O
assured	VBN	I-VP	O
him	PRP	I-NP	O
it	PRP	B-NP	O
was	VBD	I-VP	O
taking	VBG	I-VP	O
the	DT	I-NP	O
matter	NN	I-NP	O
seriously	RB	I-ADVP	O
.	.	O	O

"	"	O	O
The	DT	I-NP	O
new	JJ	I-NP	O
evidence	NN	I-NP	O
to	TO	I-PP	O
me	PRP	I-NP	O
means	VBZ	I-VP	O
some	DT	I-NP	O
of	IN	I-PP	O
that	DT	I-NP	O
proposal	NN	I-NP	O
should	MD	I-VP	O
be	VB	I-VP	O
re-examined	JJ	I-NP	O
because	IN	I-SBAR	O
we	PRP	I-NP	O
could	MD	I-VP	O
get	VB	I-VP	O
away	RB	I-ADVP	O
with	IN	I-PP	O
considerably	RB	I-ADVP	O
less	CC	O	O
animals	NNS	I-NP	O
being	VBG	I-VP	O
culled	VBN	I-VP	O
if	IN	I-SBAR	O
in	IN	I-PP	O
fact	NN	I-NP	O
scientists	NNS	I-NP	O
throughout	IN	I-PP	O
Europe	NNP	I-NP	I-LOC
accepted	VBD	I-VP	O
this	DT	I-NP	O
evidence	NN	I-NP	O
,	,	O	O
"	"	O	O
Naish	NNP	I-NP	I-PER
said	VBD	I-VP	O
.	.	O	O

At	IN	I-NP	O
least	JJS	I-NP	O
16	CD	I-NP	O
people	NNS	I-NP	O
were	VBD	I-VP	O
killed	VBN	I-VP	O
and	CC	O	O
several	JJ	I-NP	O
injured	JJ	I-NP	O
on	IN	I-PP	O
Sunday	NNP	I-NP	O
when	WRB	I-ADVP	O
a	DT	I-NP	O
bus	NN	I-NP	O
fell	VBD	I-VP	O
from	IN	I-PP	O
a	DT	I-NP	O
mountain	NN	I-NP	O
road	NN	I-NP	O
into	IN	I-PP	O
a	DT	I-NP	O
ravine	NN	I-NP	O
on	IN	I-PP	O
a	DT	I-NP	O
river	NN	I-NP	O
bank	NN	I-NP	O
in	IN	I-PP	O
Pakistan-ruled	JJ	I-NP	I-MISC
Azad	NN	I-NP	I-LOC
(	(	O	I-LOC
free	JJ	O	I-LOC
)	)	O	I-LOC
Kashmir	NNP	I-NP	I-LOC
,	,	O	O
police	NNS	I-NP	O
said	VBD	I-VP	O
.	.	O	O

Wolverhampton	NNP	I-NP	I-ORG
1	CD	I-NP	O
Bradford	NNP	I-NP	I-ORG
0	CD	I-NP	O

A	DT	I-NP	O
lefthander	NN	I-NP	O
with	IN	I-PP	O
a	DT	I-NP	O
strong	JJ	I-NP	O
serve	NN	I-NP	O
,	,	O	O
Nestor	NNP	I-NP	I-PER
kept	VBD	I-VP	O
the	DT	I-NP	O
rallies	NNS	I-NP	O
short	JJ	I-ADJP	O
by	IN	I-PP	O
constantly	RB	I-NP	O
attacking	NN	I-NP	O
the	DT	B-NP	O
net	JJ	I-NP	O
and	CC	O	O
the	DT	I-NP	O
tactic	NN	I-NP	O
worked	VBD	I-VP	O
in	IN	I-PP	O
the	DT	I-NP	O
second-round	NN	I-NP	O
match	NN	I-NP	O
against	IN	I-PP	O
Muster	NNP	I-NP	I-PER
,	,	O	O
playing	VBG	I-VP	O
his	PRP$	I-NP	O
first	JJ	I-NP	O
match	NN	I-NP	O
after	IN	I-PP	O
receiving	VBG	I-VP	O
a	DT	I-NP	O
first-round	JJ	I-NP	O
bye	NN	I-NP	O
along	IN	I-PP	O
with	IN	B-PP	O
the	DT	I-NP	O
other	JJ	I-NP	O
top	JJ	I-NP	O
eight	CD	I-NP	O
seeds	NNS	I-NP	O
.	.	O	O

6.	CD	I-NP	O
Jeremie	NNP	I-NP	I-PER
Collomb-Patton	NNP	I-NP	I-PER
(	(	O	O
France	NNP	I-NP	I-LOC
)	)	O	O
23.87	CD	I-NP	O

Birmingham	NNP	I-NP	I-ORG
2	CD	I-NP	O
1	CD	I-NP	O
1	CD	I-NP	O
0	CD	I-NP	O
5	CD	I-NP	O
4	CD	I-NP	O
4	CD	I-NP	O

Romania	NNP	I-NP	I-LOC
-	:	O	O
Cosmin	NNP	I-NP	I-PER
Contra	NNP	I-NP	I-PER
(	(	O	O
31st	CD	I-NP	O
)	)	O	O
,	,	O	O
Mihai	NNP	I-NP	I-PER
Tararache	NNP	I-NP	I-PER
(	(	O	O
75th	JJ	I-NP	O
)	)	O	O

"	"	O	O
The	DT	I-NP	O
Constitutional	NNP	I-NP	I-ORG
Rights	NNP	I-NP	I-ORG
Project	NNP	I-NP	I-ORG
(	(	O	O
CRP	NNP	I-NP	I-ORG
)	)	O	O
believes	VBZ	I-VP	O
that	IN	I-SBAR	O
William	NNP	I-NP	I-PER
Istafanus	NNP	I-NP	I-PER
,	,	O	O
Elisha	NNP	I-NP	I-PER
Shamay	NNP	I-NP	I-PER
,	,	O	O
O.K.	UH	I-INTJ	I-PER
Likkason	NNP	I-NP	I-PER
and	CC	I-NP	O
Jerome	NNP	I-NP	I-PER
Egurugbe	NNP	I-NP	I-PER
were	VBD	I-VP	O
arrested	VBN	I-VP	O
because	IN	I-PP	O
of	IN	I-PP	O
their	PRP$	I-NP	O
role	NN	I-NP	O
in	IN	I-PP	O
the	DT	I-NP	O
ongoing	JJ	I-NP	O
ASUU	NNS	I-NP	I-ORG
(	(	O	O
Academic	NNP	I-NP	I-ORG
Staff	NNP	I-NP	I-ORG
Union	NNP	I-NP	I-ORG
of	IN	I-PP	I-ORG
Universities	NNS	I-NP	I-ORG
)	)	O	O
strike	NN	I-NP	O
,	,	O	O
"	"	O	O
the	DT	I-NP	O
group	NN	I-NP	O
said	VBD	I-VP	O
in	IN	I-PP	O
a	DT	I-NP	O
statement	NN	I-NP	O
.	.	O	O

Aarau	NNS	I-NP	I-ORG
8	CD	I-NP	O
4	CD	I-NP	O
1	CD	I-NP	O
3	CD	I-NP	O
9	CD	I-NP	O
4	CD	I-NP	O
13	CD	I-NP	O

The	DT	I-NP	O
company	NN	I-NP	O
was	VBD	I-VP	O
responding	VBG	I-VP	O
to	TO	I-PP	O
an	DT	I-NP	O
article	NN	I-NP	O
in	IN	I-PP	O
Sunday	NNP	I-NP	O
's	POS	B-NP	O
New	NNP	I-NP	I-ORG
York	NNP	I-NP	I-ORG
Times	NNP	I-NP	I-ORG
.	.	O	O

Reviewed	VBN	I-NP	O
financial	JJ	I-NP	O
results	NNS	I-NP	O
for	IN	I-PP	O
the	DT	I-NP	O
first	JJ	I-NP	O
six	CD	I-NP	O
months	NNS	I-NP	O
ended	VBD	I-VP	O
June	NNP	I-NP	O
30	CD	I-NP	O
,	,	I-NP	O
1996	CD	I-NP	O
.	.	O	O

The	DT	I-NP	O
unexpectedly	RB	I-NP	O
weak	JJ	I-NP	O
figures	NNS	I-NP	O
convinced	VBN	I-VP	O
markets	NNS	I-NP	O
that	IN	I-SBAR	O
Japanese	JJ	I-NP	I-MISC
interest	NN	I-NP	O
rates	NNS	I-NP	O
would	MD	I-VP	O
stay	VB	I-VP	O
at	IN	I-PP	O
rock-bottom	JJ	I-NP	O
levels	NNS	I-NP	O
--	:	O	O
weakening	VBG	I-VP	O
the	DT	I-NP	O
yen	NN	I-NP	O
.	.	O	O

-DOCSTART-	-X-	-X-	O

Gourvennec	NNP	I-NP	I-PER
67	CD	I-NP	O
,	,	O	O
Christophe	NNP	I-NP	I-PER
Pignol	NNP	I-NP	I-PER
72	CD	I-NP	O
)	)	O	O
.	.	O	O

Viking	VBG	I-VP	I-ORG
1	CD	I-NP	O
Moss	NNP	I-NP	I-ORG
0	CD	I-NP	O

4.	CD	I-NP	O
Sven	NNP	I-NP	I-PER
Teutenberg	NNP	I-NP	I-PER
(	(	O	O
Germany	NNP	I-NP	I-LOC
)	)	O	O
US	NNP	I-NP	I-ORG
Postal	NNP	I-NP	I-ORG

The	DT	I-NP	O
maximum	JJ	I-NP	O
noise	NN	I-NP	O
level	NN	I-NP	O
during	IN	I-PP	O
the	DT	I-NP	O
day	NN	I-NP	O
is	VBZ	I-VP	O
trimmed	VBD	I-VP	O
by	IN	I-PP	O
three	CD	I-NP	O
decibels	NNS	I-NP	O
to	TO	I-PP	O
94	CD	I-NP	O
,	,	O	O
while	IN	I-SBAR	O
the	DT	I-NP	O
night	NN	I-NP	O
time	NN	I-NP	O
level	NN	I-NP	O
is	VBZ	I-VP	O
reduced	VBN	I-VP	O
by	IN	I-PP	O
two	CD	I-NP	O
decibels	NNS	I-NP	O
to	TO	I-PP	O
87	CD	I-NP	O
.	.	O	O

Attacking	VBG	I-VP	O
midfielder	NN	I-NP	O
Adrian	NNP	I-NP	I-PER
Ilie	NNP	I-NP	I-PER
,	,	O	O
who	WP	I-NP	O
recently	RB	I-ADVP	O
moved	VBD	I-VP	O
from	IN	I-PP	O
Steaua	NNP	I-NP	I-ORG
to	TO	I-PP	O
Turkish	JJ	I-NP	I-MISC
club	NN	I-NP	O
Galatasaray	NN	I-NP	I-ORG
,	,	O	O
is	VBZ	I-VP	O
ruled	VBN	I-VP	O
out	RP	I-PRT	O
after	IN	I-PP	O
two	CD	I-NP	O
yellow-card	NN	I-NP	O
offences	NNS	I-NP	O
.	.	O	O

Played	NNP	I-NP	O
Sunday	NNP	I-NP	O
:	:	O	O

There	EX	I-NP	O
were	VBD	I-VP	O
no	DT	I-NP	O
clashes	NNS	I-NP	O
.	.	O	O

The	DT	I-NP	O
second	JJ	I-NP	O
round	NN	I-NP	O
was	VBD	I-VP	O
the	DT	I-NP	O
entry	NN	I-NP	O
point	NN	I-NP	O
for	IN	I-PP	O
the	DT	I-NP	O
bulk	NN	I-NP	O
of	IN	I-PP	O
the	DT	I-NP	O
serie	JJ	I-NP	I-MISC
A	DT	I-NP	I-MISC
sides	NNS	I-NP	O
with	IN	I-PP	O
the	DT	I-NP	O
winners	NNS	I-NP	O
going	VBG	I-VP	O
through	IN	I-ADVP	O
.	.	O	O

-DOCSTART-	-X-	O	O

13-15	CD	I-NP	O
17-14	CD	I-NP	O
